DATE,USACPALTT01CTGYM
2010-01-01,-0.160616984143418
2010-02-01,-0.120398595386481
2010-03-01,-0.0542163453555562
2010-04-01,-0.00106895614360745
2010-05-01,0.0264818943375396
2010-06-01,0.0200378198019453
2010-07-01,0.0529547933347554
2010-08-01,0.0608242651952096
2010-09-01,0.107237951249144
2010-10-01,0.113040073979051
2010-11-01,0.135715519308999
2010-12-01,0.131488091191428
2011-01-01,0.168134177699841
2011-02-01,0.223168387420572
2011-03-01,0.2834055246785
2011-04-01,0.307887762325553
2011-05-01,0.346291254449176
2011-06-01,0.370689616262918
2011-07-01,0.421637858003288
2011-08-01,0.469448249443484
2011-09-01,0.491112730569273
2011-10-01,0.487624090021248
2011-11-01,0.463726670559865
2011-12-01,2.98731058555684
2012-01-01,2.90195467516066
2012-02-01,2.79945450938791
2012-03-01,2.53321685624488
2012-04-01,2.17963493231229
2012-05-01,1.51554661651676
2012-06-01,1.36149315143082
2012-07-01,1.00715438867742
2012-08-01,1.3861233861043
2012-09-01,1.79740248911537
2012-10-01,2.06749528305662
2012-11-01,1.73214036849875
2012-12-01,1.72241622222641
2013-01-01,1.5612648133836
2013-02-01,1.94706937997719
2013-03-01,1.39991138537702
2013-04-01,0.974252646512885
2013-05-01,1.27877114691799
2013-06-01,1.71124851918415
2013-07-01,1.93763912918861
2013-08-01,1.47496616149788
2013-09-01,1.11714605980489
2013-10-01,0.904333084054341
2013-11-01,1.20667327748419
2013-12-01,1.50070522748813
2014-01-01,1.57904920016807
2014-02-01,1.10457002732555
2014-03-01,1.49821522508226
2014-04-01,1.95393016520532
2014-05-01,2.1400563724508
2014-06-01,2.08857652841707
2014-07-01,2.01259241040191
2014-08-01,1.72343218268277
2014-09-01,1.67713407448249
2014-10-01,1.68269619168847
2014-11-01,1.33659070948779
2014-12-01,0.755008560000002
2015-01-01,-0.158826689677667
2015-02-01,-0.0791173258568138
2015-03-01,-0.100926018210875
2015-04-01,-0.226850987023588
2015-05-01,-0.0312727400020364
2015-06-01,0.135880675954901
2015-07-01,0.177296301004931
2015-08-01,0.172623691102618
2015-09-01,-0.107888429632531
2015-10-01,0.0904722104871796
2015-11-01,0.416655285314822
2015-12-01,0.632976738959673
2016-01-01,1.34377757718782
2016-02-01,0.978632471136572
2016-03-01,0.776306987344283
2016-04-01,1.03990248170926
2016-05-01,0.890333894006422
2016-06-01,0.857599194753776
2016-07-01,0.696040355062041
2016-08-01,0.963185507085614
2016-09-01,1.41642712257058
2016-10-01,1.60801934017529
2016-11-01,1.67109790163457
2016-12-01,2.06619307827561
2017-01-01,2.49400371554444
2017-02-01,2.72432334418523
2017-03-01,2.36581823171928
2017-04-01,2.18940596162073
2017-05-01,1.86546070546103
2017-06-01,1.62498823255796
2017-07-01,1.71827473861852
2017-08-01,1.9261017388175
2017-09-01,2.21350255263048
2017-10-01,2.01592346814388
2017-11-01,2.18053739449338
2017-12-01,2.09191806097088
2018-01-01,2.04218766562651
2018-02-01,2.17511660824798
2018-03-01,2.32136146361879
2018-04-01,2.40673736606446
2018-05-01,2.72565662360854
2018-06-01,2.80061321777916
2018-07-01,2.88980397925003
2018-08-01,2.65138330242869
2018-09-01,2.24098277368582
2018-10-01,2.48609069597009
2018-11-01,2.17253831552201
2018-12-01,1.94929185547705
2019-01-01,1.59390424582153
2019-02-01,1.57642209194507
2019-03-01,1.93369675764077
2019-04-01,2.09933124203267
2019-05-01,1.91633488150887
2019-06-01,1.76436525632301
2019-07-01,1.91784320861728
2019-08-01,1.83784204880436
2019-09-01,1.78148639618812
2019-10-01,1.83537193426659
2019-11-01,2.08984170296823
2019-12-01,2.27759167377546
2020-01-01,2.49163284654151
2020-02-01,2.3402930879404
2020-03-01,1.53077983402619
2020-04-01,0.285957806033673
2020-05-01,0.0512805772250564
2020-06-01,0.581270975904749
2020-07-01,0.933335907356692
2020-08-01,1.2645065613625
2020-09-01,1.33200377255831
2020-10-01,1.13098154857115
2020-11-01,1.12215505546534
2020-12-01,1.3230121039743
2021-01-01,1.36591488479871
2021-02-01,1.63014395317607
2021-03-01,2.55488711871961
2021-04-01,4.09116867895537
2021-05-01,4.92631222194243
2021-06-01,5.30807697794924
2021-07-01,5.26308885291013
2021-08-01,5.17385680611682
2021-09-01,5.33181296198849
2021-10-01,6.16898055300028
2021-11-01,6.75629080323472
2021-12-01,6.985817076328
2022-01-01,7.43108932815226
2022-02-01,7.83141852225068
2022-03-01,8.45952431506985
2022-04-01,8.19661145805967
2022-05-01,8.51989574657224
2022-06-01,8.96837147989759
2022-07-01,8.46172172057939
2022-08-01,8.214989378576
2022-09-01,8.18910841290281
2022-10-01,7.74669157814687
2022-11-01,7.12834438533917
2022-12-01,6.51667354017639
2023-01-01,6.33166705649165
2023-02-01,5.90444999990735
2023-03-01,4.85345472001021
2023-04-01,4.87205972318956
2023-05-01,3.99367758171464
2023-06-01,2.9715878318128
2023-07-01,3.16070891227286
2023-08-01,3.69658307187291
2023-09-01,3.65036492344975
2023-10-01,3.21430534002458
2023-11-01,3.12156961932101
2023-12-01,3.26293749456363
